Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
1364000,-0.121164426,1.954958,0.00024158388,None,None,-1.0108000189065933
1366000,-0.10133724,2.0549617,0.00024149762,-0.7399833256398173,1197.6666666666667,-0.9207500843331218
1368000,-0.07353492,2.0273316,0.00024141179,-1.0060000708908774,1596.0,-0.7684000357985497
1370000,-0.092333704,1.9329041,0.00024132559,-1.0095999311015476,998.0,-1.0096001029014587
1372000,-0.09005002,2.0216525,0.00024124098,None,None,-1.0096001029014587
1374000,-0.07882269,1.9823939,0.00024115179,-1.159449996703188,1297.5,-1.0925000384449959
1376000,-0.08458941,2.0140707,0.00024106642,-10.888500062661478,650.0,-4.447099983692169
1378000,-0.07899425,1.9531252,0.00024098258,-2.3601998158555944,998.0,-2.359600067138672
1380000,-0.070451275,1.9505537,0.00024089799,None,None,-2.3608001470565796
1382000,-0.08916852,2.0396385,0.00024080765,-2.245850015009637,1297.25,-2.4045000225305557
1384000,-0.067941055,2.0255163,0.00024072654,None,None,-2.087200164794922
1386000,-0.0496665,2.0033832,0.00024063971,-2.3599998288118513,998.0,None
1388000,-0.035289492,2.0103736,0.00024055301,-1.716125122460653,1596.0,-2.038062609732151
1390000,-0.05821019,2.0006998,0.00024046868,-1.2571999141364358,998.0,None
1392000,-0.11618131,2.0120468,0.0002403837,None,None,-1.2572000622749329
1394000,-0.0854704,2.003532,0.0002402962,-2.039766573201632,1197.6666666666667,-1.9625000357627869
1396000,-0.056367207,1.9080812,0.00024021028,-1.8595001404755749,1597.0,-2.0054332638780275
1398000,-0.0934325,2.0171735,0.00024012514,-3.0581997226108797,998.0,-3.0576000213623047
1400000,-0.11970562,1.9666759,0.00024004013,-2.4655001829378307,1596.0,-2.7621499598026276
1402000,-0.13667911,2.0052795,0.00023995202,-1.5928666719604128,1197.6666666666667,-2.401000067591667
1404000,-0.14397688,2.0035784,0.0002398668,-10.879750074003823,645.0,-4.419116705656052
1406000,-0.14125794,1.9968245,0.0002397829,-2.077866487505768,1197.6666666666667,-1.7240001559257507
1408000,-0.14274971,1.9531955,0.0002396978,None,None,-2.2547996640205383
1410000,-0.10629215,1.965978,0.00023961047,-1.273349984267649,1197.3333333333333,-1.3198250774294138
1412000,-0.09969416,1.9980583,0.00023952631,None,None,-1.180400088429451
1414000,-0.10191755,2.031983,0.00023943713,-1.449099904896381,1197.6666666666667,-1.1825000792741776
1416000,-0.11212995,2.0152574,0.00023935478,-1.7432501326838974,1597.0,-1.6360166271527607
1418000,-0.12321181,2.0032701,0.00023926797,-2.3763998117356095,998.0,-2.375200033187866
1420000,-0.1417816,2.0176764,0.00023918164,-2.221500169922365,1596.0,-2.299550026655197
1422000,-0.11706557,1.9960772,0.00023909603,-1.0071999310021056,998.5,-1.0060000121593475
1424000,-0.09857045,1.9368036,0.00023900966,-1.480500107863918,1596.0,-1.2444500923156738
1426000,-0.07680236,1.9697254,0.00023892357,-1.6437499540237088,1197.3333333333333,-1.5918251127004623
1428000,-0.1210518,2.0010028,0.00023884047,None,None,-1.7476000785827637
1430000,-0.10666357,2.0281816,0.0002387519,-1.6364333064702805,1197.3333333333333,-1.8325000032782555
1432000,-0.10303327,1.9969152,0.0002386684,-1.7970001348294318,1596.0,-1.6246000130971272
1434000,-0.11686185,1.9862372,0.00023858254,-2.106799792658421,998.5,None
1436000,-0.09399736,1.9569117,0.0002384964,-1.551000117440708,1596.0,-1.9215333114067714
1438000,-0.123181365,2.0227015,0.00023841126,-2.21351655725933,1197.6666666666667,-2.0137500362470746
1440000,-0.12253032,2.0251257,0.00023832613,None,None,-2.3133999407291412
1442000,-0.110538706,1.9976265,0.00023823883,-1.6652833138456724,1197.6666666666667,-1.7967251176014543
1444000,-0.11166174,1.9900882,0.00023815462,None,None,-1.402400016784668
1446000,-0.10204579,1.9756596,0.00023806539,-0.9462833235447761,1197.3333333333333,-1.1652500107884407
1448000,-0.09680861,2.0010717,0.00023798308,-1.3427500971010886,1597.0,-1.0054500525196393
1450000,-0.116707705,1.9777277,0.00023789147,-5.365549825063984,780.0,-10.790250778198242
1452000,-0.12459733,2.0306058,0.00023781002,-2.2067501710844226,1596.0,-2.504383305708567
1454000,-0.101687945,1.9098577,0.00023772511,-2.102399840558064,998.5,None
1456000,-0.06774553,1.9647552,0.00023763985,-1.8137501300079748,1596.0,-2.006183405717214
1458000,-0.09478014,2.077835,0.0002375527,-1.672649967445371,1197.3333333333333,-1.7647501155734062
1460000,-0.10071978,2.005511,0.0002374688,None,None,-1.6266001164913177
